"country","province","date","cases","deaths","recovered"
"1858","Australia","tasmania",2020-02-11,0,0,0
"1863","Australia","victoria",2020-02-11,4,0,0
"1865","Australia","western australia",2020-02-11,0,0,0
"1874","Australia","australian capital territory",2020-02-12,0,0,0
"1921","Australia","new south wales",2020-02-12,4,0,2
"1924","Australia","northern territory",2020-02-12,0,0,0
"1932","Australia","queensland",2020-02-12,5,0,0
"1945","Australia","south australia",2020-02-12,2,0,0
"1947","Australia","tasmania",2020-02-12,0,0,0
"1952","Australia","victoria",2020-02-12,4,0,0
"1954","Australia","western australia",2020-02-12,0,0,0
"1963","Australia","australian capital territory",2020-02-13,0,0,0
"2010","Australia","new south wales",2020-02-13,4,0,4
"2013","Australia","northern territory",2020-02-13,0,0,0
"2021","Australia","queensland",2020-02-13,5,0,0
"2034","Australia","south australia",2020-02-13,2,0,0
"2036","Australia","tasmania",2020-02-13,0,0,0
"2041","Australia","victoria",2020-02-13,4,0,4
"2043","Australia","western australia",2020-02-13,0,0,0
"2052","Australia","australian capital territory",2020-02-14,0,0,0
"2099","Australia","new south wales",2020-02-14,4,0,4
"2102","Australia","northern territory",2020-02-14,0,0,0
"2110","Australia","queensland",2020-02-14,5,0,0
"2123","Australia","south australia",2020-02-14,2,0,0
"2125","Australia","tasmania",2020-02-14,0,0,0
"2130","Australia","victoria",2020-02-14,4,0,4
"2132","Australia","western australia",2020-02-14,0,0,0
"2141","Australia","australian capital territory",2020-02-15,0,0,0
"2188","Australia","new south wales",2020-02-15,4,0,4
"2191","Australia","northern territory",2020-02-15,0,0,0
"2199","Australia","queensland",2020-02-15,5,0,0
"2212","Australia","south australia",2020-02-15,2,0,0
"2214","Australia","tasmania",2020-02-15,0,0,0
"2219","Australia","victoria",2020-02-15,4,0,4
"2221","Australia","western australia",2020-02-15,0,0,0
"2230","Australia","australian capital territory",2020-02-16,0,0,0
"2277","Australia","new south wales",2020-02-16,4,0,4
"2280","Australia","northern territory",2020-02-16,0,0,0
"2288","Australia","queensland",2020-02-16,5,0,0
"2301","Australia","south australia",2020-02-16,2,0,0
"2303","Australia","tasmania",2020-02-16,0,0,0
"2308","Australia","victoria",2020-02-16,4,0,4
"2310","Australia","western australia",2020-02-16,0,0,0
"2319","Australia","australian capital territory",2020-02-17,0,0,0
"2366","Australia","new south wales",2020-02-17,4,0,4
"2369","Australia","northern territory",2020-02-17,0,0,0
"2377","Australia","queensland",2020-02-17,5,0,0
"2390","Australia","south australia",2020-02-17,2,0,2
"2392","Australia","tasmania",2020-02-17,0,0,0
"2397","Australia","victoria",2020-02-17,4,0,4
"2399","Australia","western australia",2020-02-17,0,0,0
"2408","Australia","australian capital territory",2020-02-18,0,0,0
"2455","Australia","new south wales",2020-02-18,4,0,4
"2458","Australia","northern territory",2020-02-18,0,0,0
"2466","Australia","queensland",2020-02-18,5,0,0
"2479","Australia","south australia",2020-02-18,2,0,2
"2481","Australia","tasmania",2020-02-18,0,0,0
"2486","Australia","victoria",2020-02-18,4,0,4
"2488","Australia","western australia",2020-02-18,0,0,0
"2497","Australia","australian capital territory",2020-02-19,0,0,0
"2544","Australia","new south wales",2020-02-19,4,0,4
"2547","Australia","northern territory",2020-02-19,0,0,0
"2555","Australia","queensland",2020-02-19,5,0,0
"2568","Australia","south australia",2020-02-19,2,0,2
"2570","Australia","tasmania",2020-02-19,0,0,0
"2575","Australia","victoria",2020-02-19,4,0,4
"2577","Australia","western australia",2020-02-19,0,0,0
"2586","Australia","australian capital territory",2020-02-20,0,0,0
"2633","Australia","new south wales",2020-02-20,4,0,4
"2636","Australia","northern territory",2020-02-20,0,0,0
"2644","Australia","queensland",2020-02-20,5,0,0
"2657","Australia","south australia",2020-02-20,2,0,2
"2659","Australia","tasmania",2020-02-20,0,0,0
"2664","Australia","victoria",2020-02-20,4,0,4
"2666","Australia","western australia",2020-02-20,0,0,0
"2675","Australia","australian capital territory",2020-02-21,0,0,0
"2722","Australia","new south wales",2020-02-21,4,0,4
"2725","Australia","northern territory",2020-02-21,0,0,0
"2733","Australia","queensland",2020-02-21,5,0,1
"2746","Australia","south australia",2020-02-21,2,0,2
"2748","Australia","tasmania",2020-02-21,0,0,0
"2753","Australia","victoria",2020-02-21,4,0,4
"2755","Australia","western australia",2020-02-21,0,0,0
"2764","Australia","australian capital territory",2020-02-22,0,0,0
"2811","Australia","new south wales",2020-02-22,4,0,4
"2814","Australia","northern territory",2020-02-22,0,0,0
"2822","Australia","queensland",2020-02-22,5,0,1
"2835","Australia","south australia",2020-02-22,2,0,2
"2837","Australia","tasmania",2020-02-22,0,0,0
"2842","Australia","victoria",2020-02-22,4,0,4
"2844","Australia","western australia",2020-02-22,0,0,0
"2853","Australia","australian capital territory",2020-02-23,0,0,0
"2900","Australia","new south wales",2020-02-23,4,0,4
"2903","Australia","northern territory",2020-02-23,0,0,0
"2911","Australia","queensland",2020-02-23,5,0,1
"2924","Australia","south australia",2020-02-23,2,0,2
"2926","Australia","tasmania",2020-02-23,0,0,0
"2931","Australia","victoria",2020-02-23,4,0,4
"2933","Australia","western australia",2020-02-23,0,0,0
"2942","Australia","australian capital territory",2020-02-24,0,0,0
"2989","Australia","new south wales",2020-02-24,4,0,4
"2992","Australia","northern territory",2020-02-24,0,0,0
"3000","Australia","queensland",2020-02-24,5,0,1
"3013","Australia","south australia",2020-02-24,2,0,2
"3015","Australia","tasmania",2020-02-24,0,0,0
"3020","Australia","victoria",2020-02-24,4,0,4
"3022","Australia","western australia",2020-02-24,0,0,0
"3031","Australia","australian capital territory",2020-02-25,0,0,0
"3078","Australia","new south wales",2020-02-25,4,0,4
"3081","Australia","northern territory",2020-02-25,0,0,0
"3089","Australia","queensland",2020-02-25,5,0,1
"3102","Australia","south australia",2020-02-25,2,0,2
"3104","Australia","tasmania",2020-02-25,0,0,0
"3109","Australia","victoria",2020-02-25,4,0,4
"3111","Australia","western australia",2020-02-25,0,0,0
"3120","Australia","australian capital territory",2020-02-26,0,0,0
"3167","Australia","new south wales",2020-02-26,4,0,4
"3170","Australia","northern territory",2020-02-26,0,0,0
"3178","Australia","queensland",2020-02-26,5,0,1
"3191","Australia","south australia",2020-02-26,2,0,2
"3193","Australia","tasmania",2020-02-26,0,0,0
"3198","Australia","victoria",2020-02-26,4,0,4
"3200","Australia","western australia",2020-02-26,0,0,0
"3209","Australia","australian capital territory",2020-02-27,0,0,0
"3256","Australia","new south wales",2020-02-27,4,0,4
"3259","Australia","northern territory",2020-02-27,0,0,0
"3267","Australia","queensland",2020-02-27,5,0,1
"3280","Australia","south australia",2020-02-27,2,0,2
"3282","Australia","tasmania",2020-02-27,0,0,0
"3287","Australia","victoria",2020-02-27,4,0,4
"3289","Australia","western australia",2020-02-27,0,0,0
"3298","Australia","australian capital territory",2020-02-28,0,0,0
"3345","Australia","new south wales",2020-02-28,4,0,4
"3348","Australia","northern territory",2020-02-28,0,0,0
"3356","Australia","queensland",2020-02-28,5,0,1
"3369","Australia","south australia",2020-02-28,2,0,2
"3371","Australia","tasmania",2020-02-28,0,0,0
"3376","Australia","victoria",2020-02-28,4,0,4
"3378","Australia","western australia",2020-02-28,0,0,0
"3387","Australia","australian capital territory",2020-02-29,0,0,0
"3434","Australia","new south wales",2020-02-29,4,0,4
"3437","Australia","northern territory",2020-02-29,0,0,0
"3445","Australia","queensland",2020-02-29,9,0,1
"3458","Australia","south australia",2020-02-29,3,0,2
"3460","Australia","tasmania",2020-02-29,0,0,0
"3465","Australia","victoria",2020-02-29,7,0,4
"3467","Australia","western australia",2020-02-29,2,0,0
"3476","Australia","australian capital territory",2020-03-01,0,0,0
"3523","Australia","new south wales",2020-03-01,6,0,4
"3526","Australia","northern territory",2020-03-01,0,0,0
"3534","Australia","queensland",2020-03-01,9,0,1
"3547","Australia","south australia",2020-03-01,3,0,2
"3549","Australia","tasmania",2020-03-01,0,0,0
